"","  Aulu-Gelle ","  Quinte-Curce "," Paul (saint) ","Aelius Spartianus","Alexandre Sévère","Ambroise (saint)","Anastase I","Arcadius","Aristophane","Aristote","Artemidore d'Éphèse","Augustin (saint)","Basile de Césarée (saint)","Caius Velleius Paterculus","Cassiodore","Caton","Catulle","Celse","Cicéron","Clément d'Alexandrie","Clément I","Denis d'Halicarnasse","Denis le Petit","Dioclétien","Diodore de Sicile","Flavius Vopiscus","Gélase Ier","Germain (saint)","Grégoire Ier","Grégoire III","Héliodore de Larisse","Hermogénien","Hérodote","Hippocrate","Homère","Honorius","Horace","Innocent I","Jules César","Julius Firmicus Maternus","Justinien Ier","Labéon","Lampride","Léon Ier","Lucius Neratius Priscus ","Lycurgue","Marcellin Ammien","Marculphe","Martial","Maurus Honoratus Servius","Maximien","none","Papinien","Paulus","Pausanias","Philon d'Alexandrie","Platon","Plaute","Pline le Jeune","Plutarque","Pompée","Quintilien","Quintus Ennius","Salluste","Salvien","Scipion l'Africain","Sénèque","Sextus Pomponius","Siculus Flaccus ","Sidoine Apollinaire","Solon","Suétone","Tacite","Térence","Tertullien","Thucydide","Tiberius Catius Silius Italicus","Tite-Live ","Ulpien","Venance Fortunat","Virgile","Xénophon","Zénon"
"015___'DU DOUAIRE.'",3,0,5,0,0,1,0,0,0,6,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,2,0,0,4,0,0,0,0,12,7,0,0,7,3,2,1,0,2,0,0,0,1,1,0,0,0,2,0,2,1,2,0,0,0,7,0,0,0,0
"015___'TITRE XIV. DE PARTAGE D ’ HERITAGE.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"016___'DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris.'",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"016___'DES TESTAMENS.'",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,4,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,7,0,0,0,0
"017___'DE TESTAMENS.'",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
"017___'DES DONATIONS.'",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"017___'Du Roy duc de Normandie. Chap. 1.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"018___'DE DONATIONS.'",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"018___'DES RETRAITS ET CLAMEUR DE BOURSE.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"018___'Premiere Partie du Douaire.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
