ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,size
halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),0060,0069,0160,0169,basnage,3
halic,Denys d'Halicarnasse (006.? av. J.-C.-0007?),0060,0069,0160,0169,berault,3
heliodore,heliodore,0200,0299,0200,0299,basnage,1
hermogenien,Hermogenianus (02..-03..),0200,0299,0200,0299,basnage,1
herodote,Hérodote (0484?-0420? av. J.-C.),-0484,-0484,-0420,-0420,basnage,1
herodote,Hérodote (0484?-0420? av. J.-C.),-0484,-0484,-0420,-0420,berault,2
homere,Homère (08..?-08..? av. J.-C.),-0899,-0800,-0899,-0800,basnage,4
homere,Homère (08..?-08..? av. J.-C.),-0899,-0800,-0899,-0800,berault,3
homere,Homère (08..?-08..? av. J.-C.),-0899,-0800,-0899,-0800,terrien,1
honorius,Honorius (0384-0423 ; empereur romain),0384,0384,0423,0423,basnage,5
honorius,Honorius (0384-0423 ; empereur romain),0384,0384,0423,0423,berault,1
horace,Horace (0065-0008 av. J.-C.),-0065,-0065,-0008,-0008,basnage,1
horace,Horace (0065-0008 av. J.-C.),-0065,-0065,-0008,-0008,terrien,3
hypocrate,Hippocrate (0460-0377 av. J.-C. ; médecin),-0460,-0460,-0377,-0377,basnage,1
inno-1,Innocent I (03..-0417 ; pape),0300,0399,0400,0499,berault,1
isidore,Isidore de Séville (0560?-0636 ; saint),0560,0560,0636,0636,basnage,2
isidore,Isidore de Séville (0560?-0636 ; saint),0560,0560,0636,0636,berault,1
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482,0482,0565,0565,basnage,95
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482,0482,0565,0565,berault,12
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482,0482,0565,0565,merville,1
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482,0482,0565,0565,pesnelle,26
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),0482,0482,0565,0565,terrien,3
labeon,labeon,-0050,-0050,0020,0020,basnage,10
labeon,labeon,-0050,-0050,0020,0020,berault,3
labeon,labeon,-0050,-0050,0020,0020,terrien,1
lampride,Guillaume de Jumièges (10..-1090?),0300,0399,0300,0399,basnage,1
lampride,Guillaume de Jumièges (10..-1090?),0300,0399,0300,0399,berault,3
leon-pape,Léon I (039.?-0461 ; pape),0390,0399,0490,0499,basnage,4
livius,livius,-0059,-0059,0027,0027,basnage,2
livius,livius,-0059,-0059,0027,0027,berault,4
